CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,PassengerGroupID,PassengerNumberID,GroupSize,CabinDeck,CabinNum,CabinSide,CabinSize,CabinNumSize,TotalSpent,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55Cancrie,Destination_PSOJ318522,Destination_TRAPPIST1e
1,27.0,0,0.0,0.0,0.0,0.0,0.0,13,1,1,7.0,3,3,1,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,19.0,0,0.0,9.0,0.0,2823.0,0.0,18,1,1,6.0,4,3,1,21,2832.0,1.0,0.0,0.0,0.0,0.0,1.0
1,31.0,0,0.0,0.0,0.0,0.0,0.0,19,1,1,3.0,0,3,1,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,38.0,0,0.0,6652.0,0.0,181.0,585.0,21,1,1,3.0,1,3,1,5,7418.0,0.0,1.0,0.0,0.0,0.0,1.0
0,20.0,0,10.0,0.0,635.0,0.0,0.0,23,1,1,6.0,5,3,1,6,645.0,1.0,0.0,0.0,0.0,0.0,1.0
0,31.0,0,0.0,1615.0,263.0,113.0,60.0,27,1,1,6.0,7,2,1,12,2051.0,1.0,0.0,0.0,0.0,0.0,1.0
1,21.0,0,0.0,0.0,0.0,0.0,0.0,29,1,1,2.0,2,2,1,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,20.0,0,0.0,0.0,0.0,0.0,0.0,32,1,2,4.0,0,3,2,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,23.0,0,0.0,0.0,0.0,0.0,0.0,32,2,2,4.0,0,3,2,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,24.0,0,0.0,639.0,0.0,0.0,0.0,33,1,1,6.0,7,3,1,12,639.0,1.0,0.0,0.0,1.0,0.0,0.0
0,19.0,0,339.0,3.0,136.0,237.0,0.0,37,1,1,6.0,9,3,1,5,715.0,1.0,0.0,0.0,0.0,0.0,1.0
0,45.0,0,932.0,74.0,0.0,7.0,1010.0,40,1,2,4.0,2,2,2,5,2023.0,0.0,1.0,0.0,0.0,0.0,1.0
0,44.0,0,0.0,1561.0,0.0,14.0,224.0,40,2,2,4.0,2,2,2,5,1799.0,0.0,1.0,0.0,0.0,0.0,1.0
1,46.0,0,0.0,0.0,0.0,0.0,0.0,42,1,1,5.0,0,2,1,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,21.0,0,0.0,0.0,0.0,1687.0,92.0,46,1,3,7.0,4,2,1,21,1779.0,1.0,0.0,0.0,0.0,0.0,1.0
0,27.0,0,0.0,0.0,0.0,903.0,0.0,46,2,3,6.0,11,2,2,7,903.0,1.0,0.0,0.0,0.0,0.0,1.0
0,20.0,0,2.0,12.0,253.0,457.0,690.0,46,3,3,6.0,11,2,2,7,1414.0,1.0,0.0,0.0,0.0,0.0,1.0
1,44.0,0,0.0,0.0,0.0,0.0,0.0,47,1,3,2.0,0,3,2,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,29.0,0,0.0,7708.0,243.0,569.0,343.0,47,2,3,7.0,160,2,108,113,8863.0,0.0,1.0,0.0,0.0,0.0,1.0
0,40.0,0,26.0,1925.0,8.0,3144.0,63.0,47,3,3,2.0,0,3,2,7,5166.0,0.0,1.0,0.0,0.0,0.0,1.0
0,30.0,0,0.0,878.0,26.0,3.0,0.0,48,1,1,7.0,5,3,1,6,907.0,1.0,0.0,0.0,0.0,0.0,1.0
0,14.0,0,0.0,0.0,0.0,1609.0,0.0,49,1,1,5.0,1,2,1,5,1609.0,1.0,0.0,0.0,0.0,0.0,1.0
1,31.0,0,0.0,0.0,0.0,0.0,0.0,54,1,3,2.0,4,2,3,21,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,27.0,0,0.0,6977.0,0.0,4.0,1235.0,54,2,3,2.0,4,2,3,21,8216.0,0.0,1.0,0.0,1.0,0.0,0.0
0,66.0,0,39.0,6452.0,0.0,1409.0,155.0,54,3,3,2.0,4,2,3,21,8055.0,0.0,1.0,0.0,1.0,0.0,0.0
0,24.0,0,1784.0,8.0,18.0,18.0,0.0,55,1,1,7.0,5,2,1,6,1828.0,1.0,0.0,0.0,0.0,0.0,1.0
0,19.0,0,293.0,3495.0,5273.0,118.0,422.0,57,1,1,3.0,1,2,1,5,9601.0,0.0,1.0,0.0,1.0,0.0,0.0
1,36.0,0,0.0,0.0,0.0,0.0,0.0,59,1,1,5.0,2,2,1,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,21.0,0,0.0,619.0,12.0,3.0,0.0,60,1,1,6.0,12,2,1,11,634.0,1.0,0.0,0.0,0.0,0.0,1.0
1,18.0,0,0.0,0.0,0.0,0.0,0.0,63,1,1,7.0,8,3,1,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,26.0,0,0.0,0.0,0.0,0.0,0.0,65,1,1,7.0,9,3,1,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,19.0,0,598.0,0.0,30.0,0.0,0.0,75,1,1,7.0,11,3,1,7,628.0,1.0,0.0,0.0,0.0,0.0,1.0
1,48.0,0,0.0,0.0,0.0,0.0,0.0,79,1,1,7.0,12,3,1,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,23.0,0,14.0,870.0,0.0,0.0,23.0,80,1,1,7.0,7,2,1,12,907.0,1.0,0.0,0.0,0.0,0.0,1.0
0,24.0,0,483.0,0.0,87.0,214.0,0.0,83,1,1,7.0,8,2,1,5,784.0,1.0,0.0,0.0,0.0,0.0,1.0
0,19.0,0,0.0,20.0,135.0,265.0,367.0,87,1,1,5.0,3,2,1,5,787.0,1.0,0.0,0.0,0.0,0.0,1.0
1,24.0,0,0.0,0.0,0.0,0.0,0.0,89,1,1,6.0,19,3,1,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,27.0,0,66.0,1736.0,0.0,0.0,15.0,93,1,1,7.0,10,2,1,4,1817.0,1.0,0.0,0.0,0.0,0.0,1.0
1,6.0,0,0.0,0.0,0.0,0.0,0.0,94,1,2,7.0,17,3,1,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,33.0,0,0.0,0.0,0.0,866.0,0.0,94,2,2,6.0,21,3,1,6,866.0,1.0,0.0,0.0,0.0,0.0,1.0
0,23.0,0,0.0,0.0,1235.0,0.0,0.0,95,1,1,6.0,18,2,1,5,1235.0,1.0,0.0,0.0,0.0,1.0,0.0
0,30.0,0,1.0,0.0,1585.0,0.0,484.0,96,1,1,6.0,22,3,1,8,2070.0,1.0,0.0,0.0,0.0,1.0,0.0
0,26.0,0,0.0,17.0,997.0,0.0,0.0,100,1,2,7.0,13,2,2,4,1014.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0,0.0,0.0,0.0,0.0,0.0,100,2,2,7.0,13,2,2,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,20.0,0,1.0,0.0,0.0,599.0,0.0,104,1,1,6.0,25,3,1,9,600.0,1.0,0.0,0.0,0.0,0.0,1.0
1,17.0,0,0.0,0.0,0.0,0.0,0.0,106,1,1,6.0,26,3,1,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,34.0,0,0.0,0.0,39.0,1.0,556.0,109,1,1,6.0,22,2,1,8,596.0,1.0,0.0,0.0,0.0,0.0,1.0
0,24.0,0,0.0,22.0,82.0,0.0,686.0,117,1,1,5.0,4,2,1,21,790.0,1.0,0.0,0.0,0.0,1.0,0.0
0,29.0,0,14.0,869.0,0.0,1.0,0.0,118,1,1,7.0,14,2,1,6,884.0,1.0,0.0,0.0,0.0,0.0,1.0
0,20.0,0,1037.0,1.0,2.0,0.0,1576.0,121,1,1,6.0,26,2,1,9,2616.0,1.0,0.0,0.0,0.0,0.0,1.0
1,5.0,0,0.0,0.0,0.0,0.0,0.0,124,1,1,7.0,15,2,1,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,22.0,0,0.0,0.0,0.0,0.0,0.0,125,1,2,2.0,6,2,2,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,16.0,0,3966.0,2872.0,0.0,0.0,2458.0,125,2,2,2.0,6,2,2,5,9296.0,0.0,1.0,0.0,0.0,0.0,1.0
1,7.0,0,0.0,0.0,0.0,0.0,0.0,130,1,1,7.0,16,2,1,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,36.0,0,0.0,0.0,571.0,36.0,0.0,131,1,1,6.0,28,3,1,5,607.0,1.0,0.0,0.0,1.0,0.0,0.0
0,26.0,0,46.0,315.0,2305.0,0.0,97.0,132,1,1,4.0,4,3,1,21,2763.0,0.0,0.0,1.0,1.0,0.0,0.0
0,40.0,0,413.0,514.0,1.0,0.0,0.0,135,1,1,6.0,28,2,1,5,928.0,1.0,0.0,0.0,0.0,0.0,1.0
1,29.0,0,0.0,0.0,0.0,0.0,0.0,137,1,1,7.0,24,3,1,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,2.0,0,0.0,0.0,0.0,0.0,0.0,142,1,3,6.0,30,3,3,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,23.0,0,378.0,402.0,0.0,0.0,509.0,142,2,3,6.0,30,3,3,6,1289.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.0,0,0.0,0.0,0.0,0.0,0.0,142,3,3,6.0,30,3,3,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,30.0,0,0.0,8853.0,6108.0,29.0,3523.0,143,1,1,3.0,2,2,1,5,18513.0,0.0,1.0,0.0,1.0,0.0,0.0
0,56.0,0,0.0,44.0,23.0,723.0,0.0,145,1,1,5.0,6,2,1,5,790.0,1.0,0.0,0.0,0.0,0.0,1.0
1,36.0,0,0.0,0.0,0.0,0.0,0.0,150,1,2,2.0,7,2,2,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,56.0,0,0.0,0.0,0.0,0.0,0.0,150,2,2,2.0,7,2,2,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,19.0,0,32.0,0.0,521.0,0.0,223.0,153,1,1,6.0,32,3,1,6,776.0,1.0,0.0,0.0,0.0,0.0,1.0
1,39.0,0,0.0,0.0,0.0,0.0,0.0,154,1,1,7.0,21,2,1,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,38.0,0,2.0,26.0,148.0,1213.0,0.0,155,1,1,6.0,33,2,1,9,1389.0,0.0,0.0,1.0,0.0,0.0,1.0
0,26.0,0,0.0,0.0,0.0,0.0,0.0,156,1,1,6.0,34,2,1,14,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,35.0,0,0.0,463.0,0.0,1502.0,585.0,157,1,1,1.0,1,2,1,5,2550.0,0.0,1.0,0.0,0.0,0.0,1.0
0,26.0,0,832.0,0.0,0.0,21.0,136.0,158,1,2,5.0,9,3,1,5,989.0,1.0,0.0,0.0,1.0,0.0,0.0
0,31.0,0,0.0,0.0,705.0,0.0,0.0,158,2,2,6.0,33,3,1,9,705.0,1.0,0.0,0.0,0.0,0.0,1.0
0,38.0,0,0.0,3.0,0.0,756.0,0.0,159,1,1,6.0,34,3,1,14,759.0,1.0,0.0,0.0,0.0,0.0,1.0
0,27.0,0,0.0,11.0,0.0,0.0,1172.0,161,1,1,6.0,35,2,1,4,1183.0,1.0,0.0,0.0,1.0,0.0,0.0
1,30.0,0,0.0,0.0,0.0,0.0,0.0,162,1,1,6.0,36,2,1,9,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,22.0,0,0.0,772.0,0.0,0.0,0.0,166,1,1,7.0,29,3,1,7,772.0,1.0,0.0,0.0,0.0,0.0,1.0
1,29.0,0,0.0,0.0,0.0,0.0,0.0,168,1,1,3.0,7,3,1,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.0,0,0.0,0.0,0.0,0.0,0.0,175,1,5,7.0,25,2,5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,8.0,0,0.0,0.0,0.0,0.0,0.0,175,2,5,7.0,25,2,5,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,3.0,0,0.0,0.0,0.0,0.0,0.0,175,3,5,7.0,25,2,5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,27.0,0,0.0,0.0,0.0,0.0,0.0,175,4,5,7.0,25,2,5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,9.0,0,0.0,0.0,0.0,0.0,0.0,175,5,5,7.0,25,2,5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,29.0,0,362.0,15.0,0.0,0.0,450.0,176,1,1,6.0,39,2,1,5,827.0,1.0,0.0,0.0,0.0,1.0,0.0
0,18.0,0,756.0,116.0,0.0,1.0,58.0,180,1,1,6.0,40,2,1,10,931.0,1.0,0.0,0.0,0.0,0.0,1.0
0,22.0,0,197.0,0.0,1175.0,0.0,0.0,184,1,1,5.0,7,2,1,12,1372.0,0.0,0.0,1.0,0.0,0.0,1.0
0,24.0,0,6.0,11.0,1404.0,0.0,0.0,185,1,1,6.0,37,3,1,7,1421.0,0.0,0.0,1.0,0.0,0.0,1.0
1,25.0,0,0.0,0.0,0.0,0.0,0.0,187,1,1,6.0,38,3,1,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,36.0,0,261.0,0.0,206.0,465.0,0.0,191,1,1,6.0,39,3,1,5,932.0,1.0,0.0,0.0,0.0,0.0,1.0
1,14.0,0,0.0,0.0,0.0,0.0,0.0,194,1,3,3.0,4,2,3,21,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,24.0,0,0.0,0.0,0.0,0.0,0.0,194,2,3,3.0,4,2,3,21,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,26.0,1,0.0,275.0,0.0,4572.0,163.0,194,3,3,3.0,4,2,3,21,5010.0,0.0,1.0,0.0,1.0,0.0,0.0
0,29.0,0,1669.0,2.0,242.0,155.0,0.0,204,1,1,6.0,43,2,1,8,2068.0,1.0,0.0,0.0,0.0,1.0,0.0
0,40.0,0,44.0,0.0,565.0,0.0,18.0,208,1,1,7.0,33,2,1,9,627.0,1.0,0.0,0.0,0.0,0.0,1.0
0,36.0,0,33.0,0.0,0.0,12767.0,1193.0,209,1,1,2.0,10,2,1,4,13993.0,0.0,1.0,0.0,0.0,0.0,1.0
0,46.0,0,717.0,516.0,4.0,2.0,2439.0,214,1,2,5.0,12,3,2,11,3678.0,0.0,1.0,0.0,0.0,0.0,1.0
0,42.0,0,4762.0,20.0,0.0,4.0,41.0,214,2,2,5.0,12,3,2,11,4827.0,0.0,1.0,0.0,0.0,0.0,1.0
1,23.0,0,0.0,0.0,0.0,0.0,0.0,215,1,1,7.0,34,2,1,14,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,19.0,0,741.0,12.0,1.0,0.0,0.0,218,1,1,7.0,35,2,1,4,754.0,1.0,0.0,0.0,0.0,0.0,1.0
0,25.0,0,3.0,3833.0,8098.0,1531.0,0.0,226,1,1,4.0,7,3,1,12,13465.0,0.0,1.0,0.0,1.0,0.0,0.0
0,22.0,0,0.0,0.0,0.0,0.0,0.0,227,1,1,7.0,160,2,108,113,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,35.0,0,0.0,0.0,0.0,0.0,0.0,228,1,4,2.0,4,3,4,21,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,39.0,0,0.0,25273.0,0.0,13.0,1714.0,228,2,4,2.0,4,3,4,21,27000.0,0.0,1.0,0.0,1.0,0.0,0.0
1,42.0,0,0.0,0.0,0.0,0.0,0.0,228,3,4,2.0,4,3,4,21,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,35.0,0,0.0,1442.0,0.0,1813.0,6439.0,228,4,4,2.0,4,3,4,21,9694.0,0.0,1.0,0.0,0.0,0.0,1.0
1,29.0,0,0.0,0.0,0.0,0.0,0.0,230,1,2,6.0,49,2,2,11,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,20.0,0,786.0,0.0,0.0,0.0,0.0,230,2,2,6.0,49,2,2,11,786.0,1.0,0.0,0.0,0.0,0.0,1.0
1,25.0,0,0.0,0.0,0.0,0.0,0.0,235,1,1,7.0,40,2,1,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,36.0,0,0.0,0.0,0.0,0.0,0.0,236,1,1,6.0,51,2,1,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,39.0,0,2556.0,0.0,22.0,0.0,0.0,238,1,1,4.0,7,2,1,12,2578.0,0.0,0.0,1.0,0.0,0.0,1.0
1,23.0,0,0.0,0.0,0.0,0.0,0.0,247,1,2,4.0,9,2,2,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,19.0,0,0.0,0.0,0.0,0.0,0.0,247,2,2,4.0,9,2,2,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,50.0,0,0.0,0.0,78.0,751.0,78.0,249,1,1,7.0,41,2,1,13,907.0,1.0,0.0,0.0,0.0,0.0,1.0
0,41.0,0,0.0,0.0,728.0,0.0,0.0,256,1,1,6.0,48,3,1,5,728.0,1.0,0.0,0.0,0.0,1.0,0.0
0,19.0,0,1.0,0.0,2839.0,85.0,0.0,259,1,1,6.0,55,2,1,5,2925.0,0.0,0.0,1.0,1.0,0.0,0.0
0,20.0,0,186.0,0.0,0.0,602.0,100.0,262,1,1,7.0,39,3,1,5,888.0,1.0,0.0,0.0,0.0,0.0,1.0
1,19.0,0,0.0,0.0,0.0,0.0,0.0,264,1,3,2.0,5,3,3,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,38.0,0,0.0,0.0,0.0,0.0,0.0,264,2,3,2.0,5,3,3,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,32.0,0,1340.0,0.0,0.0,8517.0,1256.0,264,3,3,2.0,5,3,3,6,11113.0,0.0,1.0,0.0,1.0,0.0,0.0
0,44.0,0,696.0,0.0,462.0,46.0,94.0,266,1,2,5.0,12,2,1,11,1298.0,0.0,0.0,1.0,0.0,0.0,1.0
0,18.0,0,1542.0,0.0,138.0,0.0,0.0,266,2,2,6.0,57,2,1,5,1680.0,0.0,0.0,1.0,0.0,0.0,1.0
0,49.0,0,108.0,0.0,41.0,1560.0,0.0,268,1,2,6.0,58,2,1,6,1709.0,0.0,0.0,1.0,0.0,0.0,1.0
0,23.0,0,3186.0,0.0,0.0,2.0,0.0,268,2,2,5.0,13,2,1,4,3188.0,0.0,0.0,1.0,1.0,0.0,0.0
0,31.0,0,41.0,334.0,1.0,62.0,484.0,271,1,1,7.0,44,2,1,5,922.0,1.0,0.0,0.0,0.0,0.0,1.0
0,55.0,0,1054.0,0.0,2.0,0.0,1.0,272,1,1,4.0,10,2,1,4,1057.0,0.0,0.0,1.0,0.0,0.0,1.0
0,60.0,0,60.0,0.0,7022.0,0.0,0.0,273,1,3,6.0,60,2,2,4,7082.0,0.0,0.0,1.0,0.0,0.0,1.0
1,20.0,0,0.0,0.0,0.0,0.0,0.0,273,2,3,6.0,60,2,2,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,34.0,0,301.0,0.0,79.0,919.0,0.0,273,3,3,5.0,14,2,1,6,1299.0,0.0,0.0,1.0,0.0,0.0,1.0
0,14.0,0,123.0,0.0,0.0,1936.0,22.0,274,1,2,5.0,17,3,2,12,2081.0,0.0,0.0,1.0,0.0,0.0,1.0
1,26.0,0,0.0,0.0,0.0,0.0,0.0,274,2,2,5.0,17,3,2,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,19.0,0,0.0,86.0,0.0,368.0,4055.0,276,1,2,2.0,6,3,2,5,4509.0,0.0,1.0,0.0,1.0,0.0,0.0
1,25.0,0,0.0,0.0,0.0,0.0,0.0,276,2,2,2.0,6,3,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,42.0,0,98.0,10.0,0.0,613.0,0.0,279,1,1,6.0,62,2,1,5,721.0,1.0,0.0,0.0,1.0,0.0,0.0
0,18.0,0,212.0,678.0,12.0,0.0,0.0,280,1,1,6.0,53,3,1,1,902.0,1.0,0.0,0.0,0.0,0.0,1.0
0,50.0,0,0.0,0.0,1299.0,0.0,0.0,284,1,1,5.0,15,2,1,8,1299.0,0.0,0.0,1.0,0.0,0.0,1.0
0,26.0,0,0.0,0.0,0.0,1079.0,281.0,292,1,1,6.0,56,3,1,7,1360.0,1.0,0.0,0.0,0.0,0.0,1.0
1,47.0,0,0.0,0.0,0.0,0.0,0.0,293,1,1,7.0,160,2,108,113,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,35.0,0,0.0,627.0,0.0,44.0,0.0,295,1,1,6.0,66,2,1,4,671.0,1.0,0.0,0.0,0.0,1.0,0.0
0,58.0,0,73.0,0.0,422.0,978.0,0.0,296,1,1,6.0,57,3,1,5,1473.0,0.0,0.0,1.0,1.0,0.0,0.0
0,20.0,0,376.0,0.0,242.0,1.0,0.0,299,1,1,6.0,58,3,1,6,619.0,1.0,0.0,0.0,1.0,0.0,0.0
0,28.0,0,5.0,11549.0,132.0,4966.0,524.0,300,1,1,4.0,11,2,1,7,17176.0,0.0,1.0,0.0,0.0,0.0,1.0
1,12.0,0,0.0,0.0,0.0,0.0,0.0,308,1,1,7.0,48,2,1,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,20.0,0,0.0,0.0,0.0,10.0,0.0,311,1,1,5.0,17,2,1,12,10.0,1.0,0.0,0.0,1.0,0.0,0.0
1,22.0,0,0.0,0.0,0.0,0.0,0.0,312,1,1,7.0,49,2,1,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,31.0,0,0.0,34.0,81.0,0.0,608.0,317,1,1,7.0,43,3,1,8,723.0,1.0,0.0,0.0,0.0,0.0,1.0
1,24.0,0,0.0,0.0,0.0,0.0,0.0,318,1,1,7.0,52,2,1,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,17.0,0,1031.0,0.0,1026.0,42.0,0.0,319,1,2,5.0,18,2,1,5,2099.0,0.0,0.0,1.0,0.0,0.0,1.0
1,26.0,0,0.0,0.0,0.0,0.0,0.0,319,2,2,6.0,69,2,1,9,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,18.0,0,0.0,0.0,0.0,0.0,0.0,323,1,1,7.0,160,2,108,113,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,48.0,0,0.0,755.0,0.0,0.0,0.0,325,1,1,7.0,54,2,1,7,755.0,1.0,0.0,0.0,0.0,0.0,1.0
0,38.0,0,3.0,1252.0,1.0,0.0,0.0,328,1,1,6.0,71,2,1,9,1256.0,1.0,0.0,0.0,0.0,0.0,1.0
1,33.0,0,0.0,0.0,0.0,0.0,0.0,329,1,1,2.0,14,2,1,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,20.0,0,0.0,0.0,0.0,0.0,0.0,332,1,1,7.0,55,2,1,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,22.0,0,0.0,0.0,0.0,0.0,0.0,335,1,1,5.0,20,3,1,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,52.0,0,356.0,34.0,288.0,0.0,124.0,339,1,8,6.0,75,2,5,9,802.0,1.0,0.0,0.0,0.0,0.0,1.0
0,15.0,0,638.0,0.0,7.0,0.0,0.0,339,2,8,6.0,75,2,5,9,645.0,1.0,0.0,0.0,1.0,0.0,0.0
0,25.0,0,10.0,2.0,755.0,0.0,9.0,339,3,8,6.0,75,2,5,9,776.0,1.0,0.0,0.0,0.0,0.0,1.0
1,14.0,0,0.0,0.0,0.0,0.0,0.0,339,4,8,7.0,56,2,3,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,26.0,0,0.0,0.0,0.0,0.0,0.0,339,5,8,7.0,56,2,3,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,16.0,0,1395.0,0.0,0.0,21.0,522.0,339,6,8,6.0,75,2,5,9,1938.0,1.0,0.0,0.0,0.0,0.0,1.0
0,48.0,0,1.0,0.0,259.0,308.0,450.0,339,7,8,7.0,56,2,3,7,1018.0,1.0,0.0,0.0,0.0,0.0,1.0
0,36.0,0,0.0,69.0,0.0,0.0,796.0,339,8,8,6.0,75,2,5,9,865.0,1.0,0.0,0.0,0.0,0.0,1.0
0,19.0,0,0.0,74.0,610.0,0.0,0.0,342,1,2,5.0,19,2,1,2,684.0,1.0,0.0,0.0,0.0,1.0,0.0
1,43.0,0,0.0,0.0,0.0,0.0,0.0,342,2,2,7.0,58,2,1,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,32.0,0,0.0,0.0,0.0,0.0,0.0,344,1,2,3.0,8,2,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,54.0,0,0.0,8.0,4391.0,4882.0,7.0,344,2,2,3.0,8,2,2,5,9288.0,0.0,1.0,0.0,1.0,0.0,0.0
0,33.0,0,0.0,1030.0,0.0,3490.0,5832.0,349,1,6,1.0,4,3,6,21,10352.0,0.0,1.0,0.0,0.0,0.0,1.0
1,21.0,0,0.0,0.0,0.0,0.0,0.0,349,2,6,1.0,4,3,6,21,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,33.0,0,23.0,0.0,737.0,493.0,1373.0,349,3,6,1.0,4,3,6,21,2626.0,0.0,1.0,0.0,0.0,0.0,1.0
1,28.0,0,0.0,0.0,0.0,0.0,0.0,349,4,6,1.0,4,3,6,21,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,23.0,0,0.0,1468.0,0.0,704.0,1193.0,349,5,6,1.0,4,3,6,21,3365.0,0.0,1.0,0.0,0.0,0.0,1.0
0,26.0,0,8.0,67.0,0.0,393.0,1975.0,349,6,6,1.0,4,3,6,21,2443.0,0.0,1.0,0.0,0.0,0.0,1.0
1,41.0,0,0.0,0.0,0.0,0.0,0.0,351,1,1,6.0,77,2,1,8,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,2.0,0,0.0,0.0,0.0,0.0,0.0,353,1,2,7.0,61,2,2,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,21.0,0,0.0,0.0,0.0,0.0,0.0,353,2,2,7.0,61,2,2,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0
