iter	Accuracy	Logloss
0	0.7705146036	0.6830624813
1	0.7788595271	0.664889336
2	0.7899860918	0.6473986346
3	0.792767733	0.633108093
4	0.8025034771	0.619825103
5	0.8052851182	0.6065455284
6	0.8038942976	0.5938358658
7	0.8080667594	0.5802776884
8	0.8080667594	0.5679004859
9	0.8080667594	0.5593548784
10	0.8164116829	0.5486495908
11	0.8178025035	0.5396217129
12	0.8150208623	0.5316965411
13	0.8178025035	0.5244009435
14	0.8150208623	0.5196126596
15	0.8178025035	0.5128684041
16	0.8164116829	0.5064726472
17	0.8178025035	0.5010984497
18	0.8150208623	0.4959532881
19	0.8178025035	0.4905189454
20	0.8191933241	0.4848368515
21	0.8191933241	0.480957234
22	0.8219749652	0.4748842329
23	0.8205841446	0.4708860445
24	0.8205841446	0.4679056393
25	0.8191933241	0.4652587101
26	0.8191933241	0.462725848
27	0.8191933241	0.4596385693
28	0.8191933241	0.45628508
29	0.8205841446	0.4533832049
30	0.8191933241	0.4510986315
31	0.8233657858	0.4466036927
32	0.8233657858	0.4439054178
33	0.8233657858	0.4409517971
34	0.8191933241	0.4388689028
35	0.8233657858	0.4368610889
36	0.8247566064	0.4344708459
37	0.8247566064	0.4315655238
38	0.8233657858	0.429634828
39	0.8191933241	0.4279059953
40	0.8233657858	0.4267931454
41	0.8233657858	0.4247918272
42	0.8219749652	0.4219436771
43	0.8233657858	0.4200581356
44	0.8233657858	0.418010711
45	0.826147427	0.4154380101
46	0.826147427	0.4137698732
47	0.826147427	0.4114871467
48	0.8275382476	0.4093467625
49	0.8303198887	0.407655092
50	0.826147427	0.4053762864
51	0.826147427	0.403789911
52	0.8289290682	0.4019545674
53	0.8289290682	0.4011567477
54	0.8289290682	0.3994435243
55	0.8303198887	0.3980832081
56	0.8289290682	0.3974440483
57	0.8331015299	0.3961149706
58	0.8331015299	0.3948785125
59	0.8331015299	0.3940530825
60	0.8331015299	0.3935248663
61	0.8331015299	0.3924981264
62	0.8317107093	0.3918876132
63	0.8358831711	0.3904754938
64	0.8358831711	0.3890390655
65	0.8358831711	0.3881150897
66	0.842837274	0.3864970425
67	0.8442280946	0.3846977912
68	0.8442280946	0.38416881
69	0.8442280946	0.3834044439
70	0.842837274	0.3824211972
71	0.842837274	0.3810208699
72	0.842837274	0.3803817732
73	0.842837274	0.3801897378
74	0.842837274	0.3796829505
75	0.842837274	0.3792795632
76	0.8442280946	0.3784995926
77	0.8456189152	0.3778839498
78	0.8456189152	0.3773130037
79	0.8539638387	0.3761998411
80	0.8525730181	0.3757292792
81	0.8497913769	0.3745815601
82	0.8539638387	0.3735319026
83	0.8539638387	0.3723057068
84	0.8539638387	0.371494551
85	0.8539638387	0.3705317813
86	0.8553546592	0.369940427
87	0.8553546592	0.3689019216
88	0.8567454798	0.3684636284
89	0.8567454798	0.368067316
90	0.859527121	0.3667199588
91	0.8609179416	0.3663384695
92	0.859527121	0.366140609
93	0.8609179416	0.3653242285
94	0.8609179416	0.3646246466
95	0.8609179416	0.3643031166
96	0.8623087622	0.3635652296
97	0.8623087622	0.3627960469
98	0.8623087622	0.3615057433
99	0.8609179416	0.3605864047
100	0.8623087622	0.3596622991
101	0.8636995828	0.358948271
102	0.8650904033	0.3580534414
103	0.8650904033	0.3569193693
104	0.8636995828	0.3563264236
105	0.8664812239	0.355839764
106	0.8664812239	0.3555801622
107	0.8636995828	0.3551979438
108	0.8636995828	0.3544844942
109	0.8650904033	0.3530554873
110	0.8650904033	0.3527257201
111	0.8636995828	0.3520880383
112	0.8636995828	0.3514557096
113	0.8636995828	0.3506545518
114	0.8650904033	0.3500169146
115	0.8664812239	0.3494996413
116	0.8664812239	0.3491372377
117	0.8664812239	0.3480387659
118	0.8664812239	0.3477603254
119	0.8692628651	0.3471184485
120	0.8692628651	0.3464026244
121	0.8706536857	0.3459808403
122	0.8706536857	0.3449989238
123	0.8706536857	0.3438539576
124	0.8748261474	0.3433190938
125	0.8734353268	0.3428520461
126	0.8748261474	0.3425033394
127	0.8734353268	0.3422243454
128	0.8748261474	0.3418971355
129	0.8748261474	0.3414783595
130	0.8734353268	0.3408026441
131	0.8748261474	0.339839026
132	0.8748261474	0.3397665492
133	0.8776077886	0.3394567608
134	0.876216968	0.3389993653
135	0.8748261474	0.3383533352
136	0.876216968	0.3380270617
137	0.8776077886	0.3378068808
138	0.8789986092	0.3374766887
139	0.8817802503	0.3366768258
140	0.8789986092	0.3359248124
141	0.8803894298	0.3356339716
142	0.8803894298	0.3347961262
143	0.8789986092	0.3340959245
144	0.8789986092	0.333625027
145	0.8803894298	0.3332138254
146	0.8803894298	0.3325412463
147	0.8803894298	0.3322329387
148	0.8803894298	0.3321755899
149	0.8803894298	0.3317088889
150	0.8817802503	0.3313282412
151	0.8831710709	0.3311713966
152	0.8817802503	0.3308642728
153	0.8831710709	0.3303868248
154	0.8873435327	0.3296784264
155	0.8845618915	0.3293850479
156	0.8845618915	0.329221285
157	0.8845618915	0.3288542139
158	0.8845618915	0.3282299765
159	0.8845618915	0.3281338574
160	0.8859527121	0.3275504956
161	0.8859527121	0.3272441962
