iter	Passed	Remaining
0	0	404
1	1	317
2	1	287
3	2	257
4	2	264
5	3	259
6	3	252
7	4	246
8	5	246
9	5	240
10	5	235
11	6	230
12	6	227
13	7	223
14	7	220
15	8	221
16	8	218
17	9	216
18	9	214
19	9	213
20	10	215
21	10	213
22	11	212
23	11	211
24	12	212
25	12	211
26	13	209
27	13	210
28	14	213
29	15	213
30	15	216
31	16	216
32	17	216
33	17	217
34	18	218
35	19	218
36	19	219
37	20	218
38	20	218
39	21	218
40	21	217
41	22	218
42	23	217
43	23	218
44	24	217
45	24	216
46	25	216
47	25	215
48	26	214
49	26	215
50	27	215
51	28	214
52	28	213
53	29	213
54	29	213
55	30	213
56	31	213
57	31	212
58	32	213
59	32	212
60	33	212
61	33	211
62	34	210
63	34	210
64	35	209
65	36	209
66	36	208
67	37	207
68	37	207
69	38	206
70	38	206
71	39	205
72	39	205
73	40	205
74	41	205
75	41	205
76	42	205
77	43	207
78	44	207
79	44	207
80	45	206
81	46	209
82	47	209
83	47	208
84	48	207
85	49	207
86	49	207
87	50	206
88	50	205
89	51	205
90	52	205
91	52	205
92	53	204
93	53	203
94	54	203
95	55	203
96	55	203
97	56	202
98	57	202
99	57	201
100	58	200
101	58	199
102	59	199
103	59	198
104	60	197
105	60	197
106	61	196
107	61	195
108	62	195
109	62	194
110	63	193
111	64	193
112	64	193
113	65	192
114	65	191
115	66	191
116	66	190
117	67	189
118	68	189
119	68	188
120	69	188
121	69	187
122	70	186
123	70	185
124	71	185
125	72	185
126	72	185
127	73	184
128	74	184
129	74	183
130	75	183
131	75	182
132	76	181
133	76	181
134	77	180
135	78	180
136	78	179
137	79	178
138	79	178
139	80	177
140	80	177
141	81	176
142	82	176
143	82	175
144	83	174
145	84	175
146	85	175
147	86	176
148	86	175
149	87	174
150	88	174
151	88	173
152	89	174
153	90	173
154	90	172
155	91	172
156	91	171
157	93	171
158	93	171
159	94	170
160	94	170
161	95	169
162	95	168
163	97	169
164	97	168
165	98	168
166	99	167
167	99	167
168	100	166
169	101	166
170	101	166
171	102	165
172	102	164
173	103	163
174	103	163
175	104	163
176	105	162
177	105	161
178	106	160
179	106	160
180	107	159
181	107	158
182	108	157
183	108	157
184	109	156
185	109	155
186	110	155
187	111	154
188	111	154
189	112	153
190	113	153
191	113	153
192	114	152
193	115	151
194	115	151
195	116	151
196	117	150
197	118	151
198	119	150
199	119	149
200	120	149
201	120	148
202	121	147
203	122	147
204	122	146
205	123	146
206	124	145
207	124	145
208	125	144
209	125	143
210	126	143
211	127	143
212	128	142
213	128	141
214	129	141
215	129	140
216	130	139
217	130	139
218	131	138
219	131	137
220	132	137
221	132	136
222	133	135
223	133	135
224	134	134
225	134	133
226	135	133
227	135	132
228	136	131
229	137	131
230	137	130
231	138	129
232	138	129
233	139	128
234	139	127
235	140	127
236	140	126
237	141	126
238	142	125
239	142	124
240	143	124
241	143	123
242	144	122
243	144	122
244	145	121
245	145	121
246	146	120
247	147	119
248	147	119
249	148	118
250	148	118
251	149	117
252	150	116
253	150	116
254	151	115
255	151	114
256	152	114
257	152	113
258	153	113
259	154	112
260	154	111
261	155	111
262	155	110
263	156	110
264	156	109
265	157	108
266	157	108
267	158	107
268	159	107
269	160	106
270	160	106
271	160	105
272	161	104
273	162	104
274	162	103
275	163	102
276	163	102
277	164	101
278	164	101
279	165	100
280	166	99
281	166	99
282	167	98
283	167	98
284	168	97
285	169	97
286	169	96
287	170	95
288	170	95
289	171	94
290	172	94
291	172	93
292	173	92
293	173	92
294	174	91
295	174	90
296	175	90
297	176	89
298	176	89
299	177	88
300	177	87
301	178	87
302	179	86
303	179	86
304	180	85
305	180	85
306	181	84
307	181	83
308	182	83
309	183	82
310	183	82
311	184	81
312	184	80
313	185	80
314	185	79
315	186	79
316	186	78
317	187	77
318	188	77
319	188	76
320	189	76
321	189	75
322	190	74
323	191	74
324	191	73
325	192	73
326	193	72
327	194	72
328	194	71
329	195	70
330	195	70
331	196	69
332	196	69
333	197	68
334	198	67
335	198	67
336	199	66
337	200	66
338	200	65
339	201	65
340	202	64
341	202	64
342	203	63
343	203	62
344	204	62
345	204	61
346	205	60
347	206	60
348	206	59
349	207	59
350	207	58
351	208	58
352	209	57
353	209	56
354	210	56
355	211	55
356	211	55
357	212	54
358	212	53
359	213	53
360	213	52
361	214	52
362	214	51
363	215	50
364	215	50
365	216	49
366	217	49
367	217	48
368	218	47
369	218	47
370	219	46
371	219	46
372	220	45
373	220	44
374	221	44
375	221	43
376	222	43
377	223	42
378	223	41
379	224	41
380	224	40
381	225	40
382	226	39
383	226	38
384	227	38
385	228	37
386	228	37
387	229	36
388	229	36
389	230	35
390	231	34
391	231	34
392	232	33
393	232	33
394	233	32
395	233	31
396	234	31
397	234	30
398	235	30
399	235	29
400	236	28
401	236	28
402	237	27
403	237	27
404	238	26
405	238	25
406	239	25
407	239	24
408	240	24
409	240	23
410	241	22
411	241	22
412	242	21
413	242	21
414	243	20
415	244	19
416	244	19
417	245	18
418	245	18
419	246	17
420	247	17
421	247	16
422	248	15
423	249	15
424	249	14
425	250	14
426	250	13
427	251	12
428	251	12
429	252	11
430	252	11
431	253	10
432	254	9
433	254	9
434	255	8
435	255	8
436	256	7
437	257	7
438	257	6
439	258	5
440	258	5
441	259	4
442	259	4
443	260	3
444	260	2
445	262	2
446	262	1
447	263	1
448	263	0
449	264	0
